Date,Close
12/5/16,1636.59
12/6/16,1629
12/7/16,1641.39
12/8/16,1630.66
12/9/16,1615.45
12/12/16,1615.36
12/13/16,1606.14
12/14/16,1631.16
12/15/16,1601.95
12/16/16,1612.35
12/19/16,1627.7
12/20/16,1611.23
12/21/16,1615.75
12/22/16,1620.82
12/23/16,1631.02
12/25/16,1536.28
12/26/16,1532.76
12/27/16,1642.6
12/28/16,1643.88
12/29/16,1660.01
12/30/16,1642.53
1/2/17,1546.9
1/3/17,1655.79
1/4/17,1643.12
1/5/17,1653.62
1/6/17,1646.46
1/9/17,1659.57
1/10/17,1662.74
1/11/17,1671.32
1/12/17,1671.49
1/13/17,1664.7
1/15/17,1577.96
1/16/17,1584.78
1/17/17,1676.8
1/18/17,1703.69
1/19/17,1696.23
1/20/17,1701.39
1/23/17,1703.87
1/24/17,1687.24
1/25/17,1659
1/26/17,1650.65
1/27/17,1657.11
1/30/17,1658.93
1/31/17,1667.97
2/1/17,1667.15
2/2/17,1678.78
2/3/17,1680.43
2/6/17,1702.64
2/7/17,1719.97
2/8/17,1717.27
2/9/17,1713.46
2/10/17,1704.21
2/13/17,1690.33
2/14/17,1690.99
2/15/17,1703.37
2/16/17,1713.37
2/17/17,1712.86
2/19/17,1620.78
2/20/17,1622.59
2/21/17,1718.23
2/22/17,1713.18
2/23/17,1729.66
2/24/17,1736.61
2/27/17,1749.67
2/28/17,1758.88
3/1/17,1757.89
3/2/17,1743.57
3/3/17,1734.88
3/6/17,1737.29
3/7/17,1725.11
3/8/17,1727.3
3/9/17,1721.02
3/10/17,1713.86
3/13/17,1714.13
3/14/17,1718.12
3/15/17,1692.83
3/16/17,1730.02
3/17/17,1737.82
3/20/17,1742.39
3/21/17,1758.61
3/22/17,1759.13
3/23/17,1757.94
3/24/17,1764.01
3/27/17,1773.14
3/28/17,1774.22
3/29/17,1763.99
3/30/17,1754.6
3/31/17,1754.99
4/3/17,1767.33
4/4/17,1775.9
4/5/17,1767.3
4/6/17,1771.03
4/7/17,1775.98
4/10/17,1760.9
4/11/17,1787.45
4/12/17,1782.67
4/13/17,1805.65
4/14/17,1718.62
4/17/17,1808.1
4/18/17,1817.55
4/19/17,1818.23
4/20/17,1817.89
4/21/17,1828.97
4/24/17,1814.09
4/25/17,1810.4
4/26/17,1811.98
4/27/17,1816.77
4/28/17,1822.53
5/1/17,1809.41
5/2/17,1814.94
5/3/17,1806.01
5/4/17,1780.73
5/5/17,1766.14
5/8/17,1771.39
5/9/17,1760.43
5/10/17,1755.43
5/11/17,1767.98
5/12/17,1773.51
5/15/17,1766.49
5/16/17,1771.84
5/17/17,1801.25
5/18/17,1791.73
5/19/17,1780.81
5/22/17,1790.31
5/23/17,1784.02
5/24/17,1766.46
5/25/17,1781.31
5/26/17,1791.99
5/28/17,1705.28
5/29/17,1704.14
5/30/17,1786.24
5/31/17,1804.24
6/1/17,1799.03
6/2/17,1808.01
6/5/17,1810.16
6/6/17,1827.1
6/7/17,1828.56
6/8/17,1809.81
6/9/17,1793.91
6/12/17,1771.35
6/13/17,1759.93
6/14/17,1769.9
6/15/17,1744.56
6/16/17,1739.46
6/19/17,1727.56
6/20/17,1728.97
6/21/17,1740.4
6/22/17,1732
6/23/17,1745.82
6/26/17,1729.57
6/27/17,1724.79
6/28/17,1707
6/29/17,1698.31
6/30/17,1688.45
7/3/17,1663.89
7/4/17,1588.03
7/5/17,1661.31
7/6/17,1667.75
7/7/17,1636.23
7/10/17,1642.56
7/11/17,1647.94
7/12/17,1631.39
7/13/17,1624.22
7/14/17,1627.18
7/17/17,1642.79
7/18/17,1643.89
7/19/17,1641.25
7/20/17,1643.46
7/21/17,1647.9
7/24/17,1643.36
7/25/17,1640.61
7/26/17,1630.69
7/27/17,1659.01
7/28/17,1653.98
7/31/17,1657.6
8/1/17,1672.85
8/2/17,1676.05
8/3/17,1673.25
8/4/17,1669.41
8/7/17,1673.6
8/8/17,1669.88
8/9/17,1695.2
8/10/17,1714.8
8/11/17,1710.01
8/14/17,1712.12
8/15/17,1703.41
8/16/17,1689.3
8/17/17,1708.89
8/18/17,1695.03
8/21/17,1697.64
8/22/17,1691.16
8/23/17,1694.75
8/24/17,1686.15
8/25/17,1688.05
8/28/17,1714.32
8/29/17,1718.63
8/30/17,1727.75
8/31/17,1718.05
9/1/17,1717
9/3/17,1662.6
9/4/17,1661.59
9/5/17,1731.04
9/6/17,1704.03
9/7/17,1703.62
9/8/17,1710.59
9/11/17,1685.96
9/12/17,1693.43
9/13/17,1685.58
9/14/17,1687.39
9/15/17,1686.71
9/18/17,1681.78
9/19/17,1684.24
9/20/17,1695.42
9/21/17,1669.42
9/22/17,1674.4
9/25/17,1696.19
9/26/17,1681.44
9/27/17,1682.14
9/28/17,1676.4
9/29/17,1677.43
10/2/17,1672.63
10/3/17,1668.08
10/4/17,1669.16
10/5/17,1677.93
10/6/17,1676.07
10/9/17,1691.01
10/10/17,1697.41
10/11/17,1684.11
10/12/17,1695.73
10/13/17,1704.77
10/16/17,1710.94
10/17/17,1689.83
10/18/17,1678.47
